scope,city_type_6,metric,kind,family,kl,tvd,best,mean,std,skew,excess_kurt
by_class,dense_block_midrise,angular_spread,target_angular_spread,gmm4,0.757400,0.518400,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,gmm5,0.757400,0.518400,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,weibull,1.079700,0.651400,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,gamma,1.160900,0.662200,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,lognormal,1.350100,0.729100,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,laplace,2.929200,0.836700,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,skew_normal,2.945100,0.825200,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,gaussian,2.978200,0.827300,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,delay_spread,pred_delay_spread,gmm5,0.016300,0.053500,1,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,gmm4,0.016400,0.053700,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,gmm3,0.036100,0.086100,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,gmm2,0.080800,0.141800,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,lognormal,0.104000,0.178900,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,spike_plus_exp,0.148600,0.229800,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,gamma,0.187300,0.251900,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,weibull,0.188700,0.253400,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,laplace,0.603800,0.434600,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,skew_normal,0.633100,0.445800,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,pred_delay_spread,gaussian,0.664700,0.452800,0,6.043,6.404,2.131,4.478
by_class,dense_block_midrise,delay_spread,target_delay_spread,gmm5,0.100000,0.139700,1,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,gmm4,0.100200,0.137000,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,gmm3,0.110000,0.142300,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,gmm2,0.199000,0.171000,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,lognormal,0.218500,0.265200,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,weibull,0.267200,0.307400,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,gamma,0.404800,0.393500,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,spike_plus_exp,0.548800,0.330500,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,laplace,1.755700,0.741900,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,skew_normal,2.046900,0.768200,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,delay_spread,target_delay_spread,gaussian,2.081300,0.770400,0,10.095,26.128,6.403,55.916
by_class,dense_block_midrise,path_loss,pred_los,gmm5,0.001200,0.012500,1,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,gmm4,0.001800,0.015100,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,gmm3,0.005600,0.034400,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,gmm2,0.010900,0.041900,0,96.438,4.058,-0.892,0.778
